feature_id,gene_symbol,gene_title,gene_symbol_raw,multiple_gene_symbols,has_gene_symbol,interpretable_probe,logFC_T1R_R1_vs_Borderline_non_reaction,average_expression,moderated_t,raw_p_value,adjusted_p_value,log_odds,regulation,abs_logFC
A_33_P3329344,FASN,FASN,FASN,FALSE,TRUE,TRUE,-1.2953813032857135,-1.688978889318182,-4.618938373100899,3.19963930173062e-5,7.581566847688159e-4,2.257658470511042,Down_in_T1R_R1,1.2953813032857135
A_23_P359214,LOC643650,LOC643650,LOC643650,FALSE,TRUE,TRUE,-1.1928265911047615,0.8936369789999999,-4.613029244376118,3.2620691185223005e-5,7.683913372058056e-4,2.2395123933705543,Down_in_T1R_R1,1.1928265911047615
A_23_P351844,CD1B,CD1B,CD1B,FALSE,TRUE,TRUE,1.564087800285713,1.403209699090909,4.610962429355626,3.284185828398055e-5,7.695626570844933e-4,2.233167330584597,Up_in_T1R_R1,1.564087800285713
A_24_P98109,SNX10,SNX10,SNX10,FALSE,TRUE,TRUE,1.3770257789999982,2.3872274870454544,4.597300706446757,3.434122732099944e-5,7.923975771360744e-4,2.1912501678396294,Up_in_T1R_R1,1.3770257789999982
A_23_P82065,ELOVL4,ELOVL4,ELOVL4,FALSE,TRUE,TRUE,-1.020495796428571,1.7363608620454545,-4.593918883452789,3.472262774661489e-5,7.985826551169231e-4,2.1808804435631464,Down_in_T1R_R1,1.020495796428571
A_23_P26024,C15orf48,C15orf48,C15orf48,FALSE,TRUE,TRUE,1.2914801038095232,4.208506390909091,4.588583825184106,3.533277508561817e-5,8.070773260600518e-4,2.1645267239747925,Up_in_T1R_R1,1.2914801038095232
A_32_P184464,ROPN1,ROPN1,ROPN1,FALSE,TRUE,TRUE,-1.2836871392761893,-0.7411888108181818,-4.587228052093941,3.5489496909352063e-5,8.070773260600518e-4,2.1603718540191155,Down_in_T1R_R1,1.2836871392761893
A_33_P3302075,UGT1A8,UGT1A8,UGT1A8,FALSE,TRUE,TRUE,-1.1463466986333326,-0.6212986232045454,-4.57220291545704,3.7272634054670074e-5,8.375096219671442e-4,2.1143540922089725,Down_in_T1R_R1,1.1463466986333326
A_23_P26325,CCL17,CCL17,CCL17,FALSE,TRUE,TRUE,1.71233048095238,3.193725359090909,4.561674814083323,3.857411587909105e-5,8.519357504916076e-4,2.082140196225418,Up_in_T1R_R1,1.71233048095238
A_23_P7313,SPP1,SPP1,SPP1,FALSE,TRUE,TRUE,2.670548898428569,2.4560070770454545,4.550227262246934,4.003982602339126e-5,8.760680774641798e-4,2.0471419446081827,Up_in_T1R_R1,2.670548898428569
A_24_P11506,KYNU,KYNU,KYNU,FALSE,TRUE,TRUE,1.105754261757142,0.4858108225681818,4.538016512529782,4.166341751695886e-5,9.004069454380802e-4,2.0098439467668916,Up_in_T1R_R1,1.105754261757142
A_32_P231568,RASEF,RASEF,RASEF,FALSE,TRUE,TRUE,-1.303108263242857,-1.9322457003863636,-4.511072423279355,4.547759693391604e-5,9.618271458247356e-4,1.927666689714372,Down_in_T1R_R1,1.303108263242857
A_24_P497464,FLJ37644,FLJ37644,FLJ37644,FALSE,TRUE,TRUE,-1.0543589063095231,1.3957897188409092,-4.509536915121582,4.57049727128381e-5,9.632548561109572e-4,1.9229887080438113,Down_in_T1R_R1,1.0543589063095231
