feature_id,gene_symbol,gene_title,gene_symbol_raw,multiple_gene_symbols,has_gene_symbol,interpretable_probe,logFC_T1R_R1_vs_Borderline_non_reaction,average_expression,moderated_t,raw_p_value,adjusted_p_value,log_odds,regulation,abs_logFC
A_33_P3841368,LOC286161,LOC286161,LOC286161,FALSE,TRUE,TRUE,-0.30123951076190447,0.6261667770909091,-3.22956956829872,0.00231008602207661,0.01450994893391122,-1.7160308216435878,Down_in_T1R_R1,0.30123951076190447
A_24_P241183,CLEC2D,CLEC2D,CLEC2D,FALSE,TRUE,TRUE,0.5535307180952377,3.021625963636364,3.229082110800783,0.00231328125301164,0.01451707617685691,-1.7172913627896396,Up_in_T1R_R1,0.5535307180952377
A_33_P3257568,CNTRL,CNTRL,CNTRL,FALSE,TRUE,TRUE,0.3827475932142855,1.0230039076136364,3.2284008107228503,0.00231775410787758,0.01454082838352644,-1.7190529761435087,Up_in_T1R_R1,0.3827475932142855
A_33_P3374559,GUSBP11,GUSBP11,GUSBP11,FALSE,TRUE,TRUE,0.36377639114285687,-0.6969678054545454,3.227835217006746,0.00232147354483124,0.01455984119986743,-1.7205152387661178,Up_in_T1R_R1,0.36377639114285687
A_33_P3354151,BOLA1,BOLA1,BOLA1,FALSE,TRUE,TRUE,-0.17584785850476178,-0.3709294964090909,-3.226414641984975,0.00233084039779595,0.01460991774846241,-1.7241872426737783,Down_in_T1R_R1,0.17584785850476178
A_23_P103617,ANXA9,ANXA9,ANXA9,FALSE,TRUE,TRUE,-0.6118984806666662,1.8869783095454544,-3.2252828918435057,0.00233832840208066,0.01465250788804531,-1.7271119625406213,Down_in_T1R_R1,0.6118984806666662
A_23_P250347,CAMK4,CAMK4,CAMK4,FALSE,TRUE,TRUE,0.5408941418333327,-1.188232212840909,3.2242252718831295,0.00234534650300693,0.01469212913086977,-1.7298445433332317,Up_in_T1R_R1,0.5408941418333327
A_24_P944458,INSIG2,INSIG2,INSIG2,FALSE,TRUE,TRUE,0.25685438309523795,0.6762139029545454,3.2234434461103,0.00235054730657088,0.014720346036054,-1.7318641993262365,Up_in_T1R_R1,0.25685438309523795
A_23_P48628,ZBTB25,ZBTB25,ZBTB25,FALSE,TRUE,TRUE,0.27886200016666646,-0.05468028843181818,3.222433201926968,0.00235728373464533,0.01475816025339565,-1.734473473632992,Up_in_T1R_R1,0.27886200016666646
A_23_P147450,SPG21,SPG21,SPG21,FALSE,TRUE,TRUE,0.1813658270333332,0.26498540156818184,3.221370078446855,0.00236439248565494,0.01479828237394225,-1.7372187835261237,Up_in_T1R_R1,0.1813658270333332
A_33_P3260614,PLCB2,PLCB2,PLCB2,FALSE,TRUE,TRUE,0.5052527209523808,3.4618579727272727,3.219649964777539,0.00237593727020135,0.01486613680964355,-1.7416594653893789,Up_in_T1R_R1,0.5052527209523808
A_33_P3287223,DPP4,DPP4,DPP4,FALSE,TRUE,TRUE,0.5883446204761901,4.581614897727273,3.219419666344016,0.00237748699119709,0.01487143091031126,-1.7422538981672444,Up_in_T1R_R1,0.5883446204761901
A_19_P00319646,XLOC_012568,XLOC_012568,XLOC_012568,FALSE,TRUE,TRUE,-0.6209312552380949,-1.486570604090909,-3.2181023872821,0.00238636959544416,0.01492257626310881,-1.745653479544509,Down_in_T1R_R1,0.6209312552380949
A_23_P46369,RAB13,RAB13,RAB13,FALSE,TRUE,TRUE,0.611278032119047,-1.0478225616590908,3.2176061506737343,0.00238972392232514,0.01493913186106605,-1.746933925605716,Up_in_T1R_R1,0.611278032119047
A_24_P795594,ALG9,ALG9,ALG9,FALSE,TRUE,TRUE,-0.2958941622571426,-0.4125934331363637,-3.217332476734351,0.00239157573697563,0.01494628763356506,-1.7476400382825013,Down_in_T1R_R1,0.2958941622571426
A_23_P357101,APOBEC3F,APOBEC3F,APOBEC3F,FALSE,TRUE,TRUE,0.4237284409190473,-0.17451425538636364,3.2169431243557947,0.00239421262853452,0.01495815456860599,-1.7486445520614318,Up_in_T1R_R1,0.4237284409190473
A_23_P88201,PPP2R3C,PPP2R3C,PPP2R3C,FALSE,TRUE,TRUE,0.30116213311904744,-0.29748376125,3.21657715715242,0.00239669365028045,0.01496499763436561,-1.7495886648931125,Up_in_T1R_R1,0.30116213311904744
A_23_P106544,C16orf61,C16orf61,C16orf61,FALSE,TRUE,TRUE,0.20155309633333315,-1.231188360681818,3.216458089160559,0.00239750137856002,0.01496561994602616,-1.7498958192198817,Up_in_T1R_R1,0.20155309633333315
A_23_P167276,PAQR3,PAQR3,PAQR3,FALSE,TRUE,TRUE,-0.3392938991285711,-0.6231468820227273,-3.216077101018502,0.00240008763937069,0.01497282922694305,-1.7508785901814088,Down_in_T1R_R1,0.3392938991285711
A_33_P3257457,TAF1L,TAF1L,TAF1L,FALSE,TRUE,TRUE,-0.5916165972285706,-0.06086734827272727,-3.2160594444017727,0.00240020756167839,0.01497282922694305,-1.7509241342475672,Down_in_T1R_R1,0.5916165972285706
A_33_P3287218,GSTK1,GSTK1,GSTK1,FALSE,TRUE,TRUE,0.20005334961904764,1.3361054031818185,3.21523060840071,0.00240584332863261,0.01499729481269111,-1.7530618884941704,Up_in_T1R_R1,0.20005334961904764
A_23_P60499,ZNF462,ZNF462,ZNF462,FALSE,TRUE,TRUE,-0.4408858486714283,-0.24328446234090909,-3.214351178778891,0.00241183679364071,0.01502847360565749,-1.7553297645658228,Down_in_T1R_R1,0.4408858486714283
A_23_P70719,LAMA2,LAMA2,LAMA2,FALSE,TRUE,TRUE,0.5759691852380948,3.801469115909091,3.214073956731155,0.00241372903467381,0.01503430125719968,-1.7560445866167358,Up_in_T1R_R1,0.5759691852380948
A_23_P13344,EEF1G,EEF1G,EEF1G,FALSE,TRUE,TRUE,-0.17483414963809504,-0.26485484654545455,-3.214005771053384,0.00241419466630089,0.01503430125719968,-1.7562203988059153,Down_in_T1R_R1,0.17483414963809504
A_23_P107612,RAB27B,RAB27B,RAB27B,FALSE,TRUE,TRUE,-0.5795001760952376,0.84430764,-3.2122807115306484,0.00242600318018709,0.01509894087645299,-1.7606675854087568,Down_in_T1R_R1,0.5795001760952376
A_33_P3351052,POU3F1,POU3F1,POU3F1,FALSE,TRUE,TRUE,-0.6698448538095237,2.3482634931818183,-3.2118861320306964,0.00242871185059548,0.01510951454889522,-1.7616846010205354,Down_in_T1R_R1,0.6698448538095237
A_23_P3994,C17orf61,C17orf61,C17orf61,FALSE,TRUE,TRUE,-0.2077759499999999,-0.7529557295454545,-3.2110797350002347,0.00243425642083061,0.01513248344431641,-1.763762823496851,Down_in_T1R_R1,0.2077759499999999
A_23_P29036,IFNGR2,IFNGR2,IFNGR2,FALSE,TRUE,TRUE,0.3766551106666663,1.0310812572727273,3.209511654022003,0.00244507240417319,0.01517581501462552,-1.767803115212102,Up_in_T1R_R1,0.3766551106666663
A_23_P252536,MRPS26,MRPS26,MRPS26,FALSE,TRUE,TRUE,-0.23477065619047605,-1.209187640909091,-3.20944474653275,0.00244553491388221,0.01517581501462552,-1.7679754809113506,Down_in_T1R_R1,0.23477065619047605
A_23_P30913,HLA-DPA1,HLA-DPA1,HLA-DPA1,FALSE,TRUE,TRUE,0.7443988480952383,5.801641652272727,3.208829017769284,0.00244979513108331,0.0151977898123208,-1.7695616047742018,Up_in_T1R_R1,0.7443988480952383
A_23_P77145,RAB11A,RAB11A,RAB11A,FALSE,TRUE,TRUE,-0.34860139451428546,0.6347538342727272,-3.2084884504998943,0.00245215452290377,0.015207963027022941,-1.770438829152762,Down_in_T1R_R1,0.34860139451428546
A_33_P3257222,COMTD1,COMTD1,COMTD1,FALSE,TRUE,TRUE,-0.24851862004761888,-1.2250547620454546,-3.2079226426698857,0.00245607909235594,0.01522336882581678,-1.7718960955009813,Down_in_T1R_R1,0.24851862004761888
A_24_P317762,LY6E,LY6E,LY6E,FALSE,TRUE,TRUE,0.34861907137619014,-0.15036103125,3.2070858607712363,0.00246189408378955,0.01525493795220641,-1.7740509787266472,Up_in_T1R_R1,0.34861907137619014
A_24_P357100,RASD2,RASD2,RASD2,FALSE,TRUE,TRUE,-0.2829039875714284,-0.2727917806363636,-3.2067673959062546,0.00246411058703019,0.0152619540914618,-1.774870999342812,Down_in_T1R_R1,0.2829039875714284
A_23_P408271,HSD17B11,HSD17B11,HSD17B11,FALSE,TRUE,TRUE,0.3733445853285712,0.7617521000681818,3.205607949789143,0.00247219623321682,0.0153053132938696,-1.7778560527290903,Up_in_T1R_R1,0.3733445853285712
A_23_P130836,GZMM,GZMM,GZMM,FALSE,TRUE,TRUE,0.6167573982476188,1.4968494778181818,3.2054475341886928,0.00247331689872089,0.01530776748795454,-1.7782689984772908,Up_in_T1R_R1,0.6167573982476188
A_24_P11131,SRRM1,SRRM1,SRRM1,FALSE,TRUE,TRUE,-0.20053781258571407,0.17654529097727273,-3.204780594911816,0.00247798129548541,0.01532765954386295,-1.779985713142887,Down_in_T1R_R1,0.20053781258571407
A_23_P339098,SLC35F2,SLC35F2,SLC35F2,FALSE,TRUE,TRUE,-0.37037170114285695,-1.1815296472727272,-3.204467092154264,0.00248017672232776,0.01533675108341708,-1.780792599190142,Down_in_T1R_R1,0.37037170114285695
A_23_P144959,VCAN,VCAN,VCAN,FALSE,TRUE,TRUE,0.48822234766666633,1.6298073265909092,3.2043017157810088,0.00248133557623977,0.01533942928909148,-1.7812182213998016,Up_in_T1R_R1,0.48822234766666633
A_23_P3663,FAM195A,FAM195A,FAM195A,FALSE,TRUE,TRUE,0.35922939023809525,-1.0595824661363635,3.2038834492002377,0.00248426881059118,0.01535307180720916,-1.782294635995962,Up_in_T1R_R1,0.35922939023809525
A_23_P76529,ITGB7,ITGB7,ITGB7,FALSE,TRUE,TRUE,0.3956841714285712,3.394434359090909,3.203652493050505,0.00248588987196942,0.01535859933760473,-1.7828889675511403,Up_in_T1R_R1,0.3956841714285712
A_23_P154306,TANK,TANK,TANK,FALSE,TRUE,TRUE,0.22028544285714255,1.8021494227272727,3.203105327320112,0.00248973437212163,0.01537688140808202,-1.7842969122424863,Up_in_T1R_R1,0.22028544285714255
A_23_P1682,TMEM45B,TMEM45B,TMEM45B,FALSE,TRUE,TRUE,-0.6444327262142853,1.7829044834772727,-3.203024325283528,0.00249030398655681,0.01537688140808202,-1.784505330787182,Down_in_T1R_R1,0.6444327262142853
A_24_P113131,BZRAP1,BZRAP1,BZRAP1,FALSE,TRUE,TRUE,0.341822741190476,-1.0768651420454545,3.2027393619576774,0.00249230885617133,0.01538157283801006,-1.785238516638838,Up_in_T1R_R1,0.341822741190476
