feature_id,gene_symbol,gene_title,gene_symbol_raw,multiple_gene_symbols,has_gene_symbol,interpretable_probe,logFC_T1R_R1_vs_Borderline_non_reaction,average_expression,moderated_t,raw_p_value,adjusted_p_value,log_odds,regulation,abs_logFC
A_23_P34066,IL9R,IL9R,IL9R,FALSE,TRUE,TRUE,0.17280920530952368,-0.7500199060227273,1.0799501937002849,0.2858825440518348,0.46054980572252896,-5.785065898398058,Not_significant,0.17280920530952368
A_33_P3240912,MAGT1,MAGT1,MAGT1,FALSE,TRUE,TRUE,0.11917207882380944,-0.51621372075,1.0798289850225151,0.28593594294586105,0.46056992098469207,-5.7851923717717275,Not_significant,0.11917207882380944
A_33_P3363515,XRCC3,XRCC3,XRCC3,FALSE,TRUE,TRUE,0.10408337452380938,1.160583655681818,1.0798229270325004,0.28593861199664694,0.46056992098469207,-5.785198692537171,Not_significant,0.10408337452380938
A_32_P170003,TRAF3IP1,TRAF3IP1,TRAF3IP1,FALSE,TRUE,TRUE,-0.10168109156666665,-0.3098030150227273,-1.0795257214845837,0.2860695772379579,0.46074575817278657,-5.785508748579224,Not_significant,0.10168109156666665
A_23_P7636,PTTG1,PTTG1,PTTG1,FALSE,TRUE,TRUE,0.06459561761904763,-2.168433452272727,1.0794632629075775,0.2860971052744761,0.4607549845383517,-5.785573897431613,Not_significant,0.06459561761904763
A_24_P152468,LOC100134663,LOC100134663,LOC100134663,FALSE,TRUE,TRUE,-0.10722105953333326,0.27571817886363637,-1.0793143442902045,0.2861627472308046,0.4608255867024979,-5.785729215991703,Not_significant,0.10722105953333326
A_24_P330691,SUMO2,SUMO2,SUMO2,FALSE,TRUE,TRUE,-0.07200563327619044,-0.3467766221818182,-1.0792147169252584,0.2862066679264125,0.4608612016831216,-5.785833113608017,Not_significant,0.07200563327619044
A_23_P131020,GATAD2A,GATAD2A,GATAD2A,FALSE,TRUE,TRUE,-0.08050924633333334,-0.9430687820454544,-1.0791303482699532,0.28624386550411673,0.4608859862340985,-5.785921091379846,Not_significant,0.08050924633333334
A_23_P39910,COA5,COA5,COA5,FALSE,TRUE,TRUE,-0.06022013979523801,0.25952143229545455,-1.078698704494388,0.2864342271694865,0.4611121450912752,-5.786371097929265,Not_significant,0.06022013979523801
A_23_P91919,SERP1,SERP1,SERP1,FALSE,TRUE,TRUE,0.06891199198095228,0.02507304713636363,1.0786307443535208,0.2864642067053738,0.4611121450912752,-5.786441933639122,Not_significant,0.06891199198095228
A_33_P3685572,LOC157562,LOC157562,LOC157562,FALSE,TRUE,TRUE,-0.15867193342857142,1.3520276027272726,-1.0784186499310695,0.2865577828708293,0.46121575531205056,-5.7866629751069,Not_significant,0.15867193342857142
A_33_P3280421,CDC14C,CDC14C,CDC14C,FALSE,TRUE,TRUE,-0.10442602349523802,-0.49087211895454547,-1.0783364935091502,0.2865940360568919,0.4612389816567781,-5.786748586158913,Not_significant,0.10442602349523802
A_23_P413803,POC5,POC5,POC5,FALSE,TRUE,TRUE,0.06255327352380943,-0.5525677763636364,1.0782197704847791,0.28664554796067565,0.4612516407839239,-5.786870206681685,Not_significant,0.06255327352380943
A_23_P200325,RABGAP1L,RABGAP1L,RABGAP1L,FALSE,TRUE,TRUE,0.10268054852380952,1.0870379729545454,1.078096297003143,0.2867000459907472,0.46130421529083687,-5.786998847308885,Not_significant,0.10268054852380952
A_24_P219785,CALM3,CALM3,CALM3,FALSE,TRUE,TRUE,0.2519294975285712,0.11923625747727272,1.07737805261225,0.2870172040060742,0.46170908165555863,-5.787746871902833,Not_significant,0.2519294975285712
A_33_P3316555,MGST3,MGST3,MGST3,FALSE,TRUE,TRUE,0.09076756823809512,0.49117990522727273,1.0773184580492967,0.2870435304049691,0.4617162906118285,-5.787808916161241,Not_significant,0.09076756823809512
A_33_P3289996,USP45,USP45,USP45,FALSE,TRUE,TRUE,0.11034874819047612,-0.793365985,1.0765700960237077,0.2873742690102398,0.4621482377018623,-5.788587763254538,Not_significant,0.11034874819047612
A_24_P191664,GOLIM4,GOLIM4,GOLIM4,FALSE,TRUE,TRUE,0.10353204780952376,0.06644359004545454,1.0765624192443333,0.2873776631394576,0.4621482377018623,-5.78859575009291,Not_significant,0.10353204780952376
A_23_P214638,EHMT2,EHMT2,EHMT2,FALSE,TRUE,TRUE,0.09226917733333329,-1.0656900577272728,1.0764282318962874,0.287436995814941,0.4622084862708911,-5.788735348435595,Not_significant,0.09226917733333329
A_23_P143446,MRPL39,MRPL39,MRPL39,FALSE,TRUE,TRUE,-0.0773700066666666,-0.9600470027272728,-1.076367120211535,0.2874640199693487,0.46221677642237774,-5.788798918928311,Not_significant,0.0773700066666666
A_19_P00802759,XLOC_005690,XLOC_005690,XLOC_005690,FALSE,TRUE,TRUE,0.09474051546666656,0.510838719,1.0762603169740257,0.2875112536062777,0.4622326670554854,-5.788910011137682,Not_significant,0.09474051546666656
A_24_P942604,SMC1A,SMC1A,SMC1A,FALSE,TRUE,TRUE,-0.09335616339999994,-0.0049982749090909,-1.0762458734810951,0.28751764164356863,0.4622326670554854,-5.788925033845286,Not_significant,0.09335616339999994
A_33_P3231542,ZFHX3,ZFHX3,ZFHX3,FALSE,TRUE,TRUE,0.1103296890761904,0.15481787763636362,1.0760487229175044,0.2876048468696584,0.4623222262153189,-5.789130071442669,Not_significant,0.1103296890761904
A_19_P00321272,XLOC_014105,XLOC_014105,XLOC_014105,FALSE,TRUE,TRUE,0.17460858492857123,-1.2689407639772727,1.075971589353332,0.28763897022764207,0.4623222262153189,-5.789210281047241,Not_significant,0.17460858492857123
A_33_P3383724,TRIM61,TRIM61,TRIM61,FALSE,TRUE,TRUE,-0.13202713493333312,0.3794867160909091,-1.07584461691153,0.28769514810944447,0.4623773591697375,-5.789342305194432,Not_significant,0.13202713493333312
